title,channel_name,daily_rank,daily_movement,weekly_movement,snapshot_date,country,view_count,like_count,comment_count,description,thumbnail_url,video_id,channel_id,video_tags,kind,publish_date,langauge
小路飞还不知道他把路飞给擦没有了 #路飞#海贼王,路飞与唐舞桐,8,15,42,2024-11-07,MD,67181743,928745,340,"装扮海贼王角色，以动漫人设演绎现代搞笑剧情，油管的伙伴们大家好!
我是路飞与唐舞桐，正式入驻油管了，此频道唯一授权频道
其他频道皆为盗版，打击盗版，从我做起~
海贼王粉丝千千万，路飞家的占一半
装扮海贼王角色，以动漫人设演绎现代搞笑剧情
每天带给你们开心快乐 ，要记得准时收看我的影片
哦!
赶紧订阅，路飞与唐舞桐在等你~
本频道制作的所有视频都符合平台的使用政策，没有任何违规行为
我们的视频制作团队会特别关注儿童的安全需求，确保内容不会对其造成任何危害",https://i.ytimg.com/vi/ltfmFFQk9-4/mqdefault.jpg,ltfmFFQk9-4,UCQPMKK3ZuDep5FaCUJQYzQA,"路飞与唐舞桐, 动漫人设, 现代搞笑剧情, 海贼王角色装扮, 海贼王粉丝, 日常幽默, 漫画改编, 动漫文化, 二次元世界, 漫迷交流, 角色扮演, 剧情解析, 粉丝互动, 动漫推荐, 漫画爱好者, 动画创作, 角色分析, 二次元幽默, 动漫娱乐, 漫画角色, 文化传播, 创意演绎, 网络红人, 动漫角色讨论",youtube#video,2024-10-28 00:00:00+00:00,zh
"Xavi, Fabio Capri - Tu Casi Algo (Official Video)",Xavi Oficial,17,-4,33,2024-11-10,NI,528938,47570,3342,"Escúchala en todas las plataformas: https://xaviofficial.lnk.to/NEXT/ 
 
Sigue a Xavi:
Instagram: https://www.instagram.com/xaviiiofficiall/
TikTok: https://www.tiktok.com/@xaviiiofficial
Facebook: https://www.facebook.com/share/1TRGSeXUKe/?mibextid=LQQJ4d 

Sigue a Fabio Capri:
Instagram: https://www.instagram.com/fabiiocapri
TikTok: https://www.tiktok.com/@fabiocapri
Facebook: https://www.facebook.com/xaviiiofficiall
 
Lyrics:
 
Ya no llames al phone 
Deja de estar jediéndome la vida mas 
Búscate otro cobrón 
Y te paso una feria, si te topas otro wey mejor que yo 
Pero sabes que no oh
 
Túmbate el rollo 
Ya conozco tus mañas 
Tienes mucha labia, pero todas me las se 
Pa que seguir fingiendo 
Que aún nos amamos 
Cuando esto nunca fue 
Nomás un casi algo
 
Ni modo, baby ya no te topo 
Te toca extrañar lo que perdiste
Ya te fuiste, porfa hazme un paro
 
En corto, mami borra las fotos 
Que yo ya te borré completamente 
De mi vida y se retira 
Tu casi algo
Tu casi todo
Tu casi siempre
 
Tu Ya ni modo
 
Tu casi algo
 
Túmbate el rollo 
Ya conozco tus mañas 
Tienes mucha labia pero todas me las se 
Pa’ que seguir fingiendo 
Que aún nos amamos 
Cuando eso nunca fue 
Nomás un casi algo
 
Ni modo, baby ya no te topo 
Te toca extrañar lo que perdiste ya te fuiste, porfa hazme un paro
 
En corto, mami borra las fotos 
Que yo ya te borré completamente
De mi vida y se retira
Tu casi algo
Tu casi todo
Tu casi siempre
 
Tu ya ni modo
 
Tu casi algo
 
#Xavi #FabioCapri #NEXT #TuCasiAlgo",https://i.ytimg.com/vi/L6UKdcTzsHo/mqdefault.jpg,L6UKdcTzsHo,UCx0lY_L_o5vFPQaLAdBasmQ,"Xavi, Fabio, Fabio Capri, Next, Tu Casi Algo",youtube#video,2024-11-08 00:00:00+00:00,es-MX
Making Katniss’s Fire Dress! 🔥 featuring my parents lighting me on fire,Crescent Shay,30,-14,20,2024-04-09,GR,11956554,884422,1311,,https://i.ytimg.com/vi/VJdnJqPjXs4/mqdefault.jpg,VJdnJqPjXs4,UCK4_MNKAJ_9K5Bsi-3-S8VA,,youtube#video,2024-04-01 00:00:00+00:00,en
"Bruce Melodie - Pom Pom (Official Video) ft.  Diamond Platnumz , Brown Joel ",Bruce Melodie,16,10,34,2026-01-03,TZ,605009,44818,7327,"Artist Name: Bruce melodie 
Featured Artist : Diamond platnumz , Brown Joel  
Song Title: POM POM
Writers (Full Legal Names): Brice Itahiwacu (Bruce Melodie) ;Naseeb
Abdul Juma (Diamond  platnumz) , Agubosim Favour Brown (Brown Joel)
Producer(s): C-Tea Beat 
Mixing Engineer: C-Tea Beat
Mastering Engineer: C-Tea Beat
Executive producer: 1:55 AM",https://i.ytimg.com/vi/hC1lSNjADxc/mqdefault.jpg,hC1lSNjADxc,UCbp-tIRMJP4SwLjYlJCrolA,,youtube#video,2026-01-01 00:00:00+00:00,en
"DIE TOGETHER (New Movie) Maurice Sam, Sonia Uche 2024 Nollywood Romance Movie",Uche Nancy tv,5,6,21,2024-07-28,GH,2203410,36113,4459,"DIE TOGETHER (New Movie) Maurice Sam, Sonia Uche 2024 Nollywood Romance Movie

SUBSCRIBE NOW https://www.youtube.com/channel/UCzKrLr1ZD1uds-7c7vaSjVA?sub_confirmation=1

Get ready to be entertained...

SUBSCRIBE NOW https://www.youtube.com/channel/UCzKrLr1ZD1uds-7c7vaSjVA?sub_confirmation=1

Welcome to Uche Nancy YouTube Channel. 
Stream and Enjoy Best of Nollywood Movies with your favourite artists here on Uche Nancy TV YouTube channel. 
SUBSCRIBE NOW to stay updated on all latest Nollywood movies.

Kindly LIKE & FOLLOW OUR NEW FACEBOOK PAGE https://web.facebook.com/100085620411212
FOLLOW ON TikTok https://www.tiktok.com/@uchenancytv

Click here 👇🏿 to SUBSCRIBE NOW 
https://www.youtube.com/channel/UCzKrLr1ZD1uds-7c7vaSjVA?sub_confirmation=1

DO NOT FORGET TO HIT THE NOTIFICATION 🔔 BELL ICON to STAY NOTIFIED ON ALL OUR NEW MOVIES.

#Nigerianmovies​​ ​​#Nollywoodmovies #Latestmovies​​ 
#2024movies #dietogether #mauricesam #soniauche
#uchenancytv #chinenyennebe",https://i.ytimg.com/vi/0BvfMIebkeM/mqdefault.jpg,0BvfMIebkeM,UCzKrLr1ZD1uds-7c7vaSjVA,"nigerian movies, nigerian films, african movies, die together nigerian movie, uche nancy tv, die together, nigerian movies 2024 latest full movies, new nigerian movies 2024 latest full movies, african movies 2024, nollywood movies, top nollywood movie, nigerian movie 2024, 2024, free nigerian movie, romantic, new nigerian movies 2024, new movie, romantic movie, victory michael, maurice sam, sonia uche",youtube#video,2024-07-14 00:00:00+00:00,en
LISA - ROCKSTAR (Official Music Video),LLOUD Official,1,2,49,2024-06-29,NI,40454282,3894122,349946,"Stream LISA's single 'Rockstar' now: http://LISA.lnk.to/ROCKSTAR

Follow LISA:
http://www.instagram.com/lalalalisa_m
https://www.tiktok.com/@lalalalisa_m
https://www.youtube.com/@lalalalisa_m?sub_confirmation=1

Follow WeAreLLOUD:
http://www.instagram.com/wearelloud
https://www.tiktok.com/@wearelloud
http://www.facebook.com/wearelloud
https://www.youtube.com/@wearelloud/videos?sub_confirmation=1


Credits:
Artist - Lisa @lalalalisa_m
Label – Lloud Co. @wearelloud / RCA Records @rcarecords
Commissioner / Producer: Camille Yorrick
Artist Management - LLoud - @wearelloud
 
Director: Henry Scholfield @hscholfield
 
Production Company: Academy Films @academyfilms
MD / Producer: Medb Riordan @medbriordan
Production Manager: Lexi Kiddo @lexi.kiddo
Production Coordinator: Mali Davies @malmalade
Music Video Rep: Nicole O’ Connell @hart_represents
 
DOP: Mauro Chiarello @mauro.chiarello
1st AD: Oleksii Smoliar @oleksiismoliar
 
Choreography: Sean Bankhead @itsbankhead
Assistant Choreographer: Tacir Roberson @tacir.r
 
Service Company Thailand - TAPROD @taprodgroup
Service Company EP - Louis Ditapichai
Service Company EP - Christophe Guyot
Producer - Air Thidatip @thidatip_air
PM - Kornlapas Sawasdee
Production Coordinator: Piraporn Taechasawadinan
Production Assistant: Nongnapat Matrvichite
Production Assistant: Porntipa Somphum
Production Assistant: Papachaya Vongprommool
Travel Coordinator: Narisara Sapanan
Production Runner: Weerasak Kala
 
Thailand 1st AD: Piyaluk Preecha
Thailand 1st AD: Nada Nakata
Thailand 2nd AD: Kawita Nunthakunatip
 
Focus Puller: Nattapong Phamon
1st AC: Pongthep Janphophan
2nd AC: Aissara Kongsuk
2nd AC: Nuttakit Tanadnangsue
DIT: Nitiwat Jettana    
Steadicam Operator: Watcharawit Ya-Inta
Key Grip: Manop Pitichokjinda
Gaffer: Surachet Thongmee
Playback Operator: Worawit Pikulthong
 
VFX Supervisor: Denis Reva @thatsdeemoney
 
Art Director: Pongsan Thawatwichian @spor_1974
Asst. Art Director: Nimit Somboonsiri
Prop Master: Nontakron Jankaw
Prop Man: Akarawat Nudnum
 
Styling: Georgia Pendlebury @georgia.pendlebury
Lisa Personal Stylist: Nista Permpoon @nanist
Styling Assistant: Aniello Luca Migliaro @lukawaii
Styling Assistant: Loti Pascucci @lotipascucci
Lisa Make-up Artist: Myungsun Lee 
Make-up Assistant: Yuri Choi
Lisa Hair Stylist: Hyeyeon Jang
Hair Stylist Assistant: Jieyoon Cho
Nail Tech: Nathotsaphorn Murada
Seamstress: Parn-Inn Punpiang
 
Casting: Ploenpit Jermjutitham
 
Core Dancers: Aurn, Aru, Bhee, BM, Fee, Khing, Minnie, Momile, Nida, Tangmay
 
Cast Styling: Phuwanet Phumithawon @pphumi
Cast Make Up Artist: Hathairat Srivilai (Kai)
Cast Hair Stylist: Thanon Songsil (Keng)
 
Location Manager: Ekthanat Sawasdee
Unit Manager: Nonnawat Kongnithipyravanich
 
Edit: Cabin @cabinedit
Editor: Nik Kohler @nik.kohler_
Edit Producer: Joanna Dawson
Edit EP: Kayt Hall
Assistant Editors - Sabra Stratton, Victoria Man, Craig Griffiths, Julie Levy
 
VFX / Colour: Black Kite Studios @blackkitestudios
Post-Production Executive Producer: Amy Richardson
Senior Producer: Alizée Levrino
Colourist: Tom Mangham @thomasmangham 
VFX Lead: Jack Stone
VFX Artists: Alfie Gunther, Anastasios Agiakatsikas, Aurélien Lemonnier, Claudio Jarrao, Dan Moore, David Birkill, Ethan Francis, Itay Greenberg, James Marshall, Laurence Lavoie, Leonie Wong, Matt Hutchins, Matt Jackson, Mauro Nodari, Miguel Carballal, Nile Hylton, Pablo Oliver
 
BTS: David Malave @davemalave

#LISA #ROCKSTAR",https://i.ytimg.com/vi/hbcGx4MGUMg/mqdefault.jpg,hbcGx4MGUMg,UC6-BgjsBa5R3PZQ_kZ8hKPg,"Blackpink, Lisa, Music, Fashion, K-Pop, kpop, LLoud, dance, dancing, Thailand, Lalisa, Lalisa love me, Money Dance challenge, BLINKs, BLACKPINK Lisa, Lisa of BLACKPINK",youtube#video,2024-06-28 00:00:00+00:00,en
Cheb Amine tigre ft Hamouda Maradon | Allah Ghaleb 3liya - تالبونا حتى فالابتسامة | © Clip officiel,Edition Babylone,20,-9,30,2025-07-01,DZ,328289,5571,150,"Cheb Amine tigre ft Hamouda Maradon | Allah Ghaleb 3liya - تالبونا حتى فالابتسامة | © Clip officiel

Arrangements & Bass: Hamouda Maradon 
• Parole & music: Amine tigre 
• Mix: Smail benz
• Parc: saadawa 
• Réalisation: Teros 22
• Studio: Rio Salado 
• Production:Edition Babylone ( Zouaoui / Kader )
#objectif_10k_jaime_merci   #الاغاني_الجزائرية    
#trapdz 
     ~~~
Facebook :
https://www.facebook.c...
Instagram :
https://instagram.com/...
TikTok :
editionbabylone
 
     ~~~
اي نسخة محمولة يتم التبليغ و لن نتراجع عنها 
جميع الحقوق محفوظة ©
All rigt reserved 
Tous droits réservés Edition Babylone
⚠️⚠️ (Attention:Tous droits réservés ) ⚠️⚠️",https://i.ytimg.com/vi/r8gxqele1wI/mqdefault.jpg,r8gxqele1wI,UCP26F6huKsiMWi_2LdL4uyA,"#100k_jaime, #موسيقىـجزائرية, #Allah_ghaleb_3liya, #تالبوناـحتىـفالإبتسامة",youtube#video,2025-06-26 00:00:00+00:00,fr
TODOS VIENEN A POR MÍ | Granny Uptopian,Iker Unzu,27,-21,23,2025-12-22,PY,1235265,60435,2989,"Todos los enemigos MÁS FAMOSOS del canal me quieren matar: El Heladero Maldito y sus Pelotudineons, La Monja Maldita, Los Gemelos, Granny Remake... Y OBVIAMENTE NO PUEDEN FALTAR LA GRANOLA NI EL GRANOLO !! Podremos escapar sanos y salvos?!

► Mi Libro: https://www.planetadelibros.com/libro-la-invasion-de-las-madreszombi/418120

► DISCORD: https://discord.gg/J82C24KZuN

✸ Si quieres hacerte miembro del canal:
https://www.youtube.com/ikerunzu/join

► Mis otros canales:
✸ Iker Unzu Shorts: https://www.youtube.com/channel/UCqQqlX6A1t-zSWkouSPK-XA
✸ Iker Unzu Podcast: https://www.youtube.com/channel/UCjw2jVWf-xkQM5ccQ5GAxmQ

► Podcast:
✸ Spotify: https://open.spotify.com/show/5ci7jly...​
✸ Apple: https://podcasts.apple.com/es/podcast/iker-unzu/id1547543193?l=en
(y muchas otras plataformas)

► Instagram: https://www.instagram.com/iker.unzu/?...​
► TikTok: https://www.tiktok.com/@ikerunzu?lang...​
► Twitter: https://twitter.com/unzuiker​

os amoooo,
- iker unzu",https://i.ytimg.com/vi/IrTuJOVsNU8/mqdefault.jpg,IrTuJOVsNU8,UCQW8tWGYajwUv6jdQ2kmsRw,"iker unzu, iker tiktok, iker unzu tiktok, iker, comedia, sketches de comedia, iker comedia",youtube#video,2025-12-20 00:00:00+00:00,es
"Ты не поверишь, как сделали Горо в Мортал Комбате 1995! Это не графика!",Мик,49,-4,1,2025-04-15,NL,2001709,45974,1008,"В 1995 году, когда про CGI почти никто не знал, создатели фильма Mortal Kombat решили сделать Горо — четырёхрукого монстра — реальной куклой-аниматроником. Его рост — 2,5 метра, а управляли им сразу 13 человек! Это был настоящий технический вызов: механика, жар, поломки на съёмках — всё ради того, чтобы он выглядел как живой.
Узнай, как создавали Горо без компьютерной графики, и почему он до сих пор выглядит круче, чем многие современные CGI-монстры!

#MortalKombat #Горо #Goro #МорталКомбат #BehindTheScenes #CineMagic #Аниматроника #90sMovies #ПрактическиеЭффекты #VFX #Фильмы90х #GoroMortalKombat",https://i.ytimg.com/vi/RMOneQR7Lo4/mqdefault.jpg,RMOneQR7Lo4,UC38e6gP0q8GVSbDSdhtBw4w,"Mortal Kombat, Goro, Горо, Мортал Комбат, создание Горо, как снимали Mortal Kombat, закулисье Mortal Kombat, аниматроника, спецэффекты 90-х, практические эффекты, фильмы 90-х, behind the scenes, Goro Mortal Kombat 1995, спецэффекты Mortal Kombat, practical effects, кино без графики, Mortal Kombat movie, Mortal Kombat 1995, аниматроника в кино, культовые фильмы 90-х, practical effects movies, старые спецэффекты, Mortal Kombat история, съемки Mortal Kombat, кукольные эффекты",youtube#video,2025-04-06 00:00:00+00:00,ru
Жириновский предсказывает сценарий своих похорон,Россия 90х,50,-4,0,2024-03-02,MD,3362393,53137,602,"Смотреть другие выпуски: https://www.youtube.com/playlist?list=PLdA2Zf4J7kGN6SeA_q5kSeeYclfURBtGi

Подписка на канал - https://www.youtube.com/channel/UCtF3s7V8QTjgrFEDi7JLzLA?sub_confirmation=1",https://i.ytimg.com/vi/5YddVT9xQGE/mqdefault.jpg,5YddVT9xQGE,UCtF3s7V8QTjgrFEDi7JLzLA,"владимир жириновский, владимир жириновский похороны, жириновский, владимир жириновский где похоронен, владимир жириновский прощание, владимир жириновский интервью, владимир жириновский биография, владимир жириновский причина смерти, прощание с владимиром жириновским, жириновский похороны, жириновский владимир, похороны, лдпр жириновский, жириновский умер, владимир вольфович жириновский, жириновский предсказания, жириновский биография, Жириновский предсказал свои похороны",youtube#video,2024-02-17 00:00:00+00:00,ru
